|      file | simple | bitpix | naxis | naxis1 | naxis2 | bscale |   bzero |            date-obs | exptime | exposure | set-temp | ccd-temp | xpixsz | ypixsz | xbinning | ybinning | xorgsubf | yorgsubf |       readoutm | filter |    imagetyp |  sitelat | sitelong |            jd | focallen | aptdia | aptarea |              swcreate |              sbstdver |           object |   telescop |                 instrume |  observer |                                      notes | flipstat |             ra |            dec |  alt |  az |        location |   longitud | latitude | elevatio | amtemp_f | humid | wind_mph |        swowner |
| ib021.fit |   True |     16 |     2 |   1024 |   1024 |    1.0 | 32768.0 | 2017-08-18T05:06:08 |     8.0 |      8.0 |    -20.0 |    -20.0 |   24.0 |   24.0 |        1 |        1 |        0 |        0 | 1MHz High Gain |      V | Light Frame | 00 00 00 | 00 00 00 | 2457983.71259 |      0.0 |    0.0 |     0.0 | MaxIm DL Version 5.15 | SBFITSEXT Version 1.0 | 120 AZ, 32.5 ALT | NexStar #2 | ML4, Nikon f/2_new, 9776 | B Meadows | Clear skies with haze/smoke on low horizon |          |  22.5716704254 |  1.56776769924 | 32.5 | 120 | Timpooneke Road | -111.69703 | 40.42201 |   2582.0 |     60.5 |  35.8 |      1.0 | Chadwick Moore |
| ib022.fit |   True |     16 |     2 |   1024 |   1024 |    1.0 | 32768.0 | 2017-08-18T05:05:32 |     8.0 |      8.0 |    -20.0 |    -20.0 |   24.0 |   24.0 |        1 |        1 |        0 |        0 | 1MHz High Gain |      V | Light Frame | 00 00 00 | 00 00 00 | 2457983.71218 |      0.0 |    0.0 |     0.0 | MaxIm DL Version 5.15 | SBFITSEXT Version 1.0 | 144 AZ, 32.5 ALT | NexStar #2 | ML4, Nikon f/2_new, 9776 | B Meadows | Clear skies with haze/smoke on low horizon |          |   21.446024686 | -9.84885415443 | 32.5 | 144 | Timpooneke Road | -111.69703 | 40.42201 |   2582.0 |     60.5 |  35.8 |      1.0 | Chadwick Moore |
| ib023.fit |   True |     16 |     2 |   1024 |   1024 |    1.0 | 32768.0 | 2017-08-18T05:04:57 |     8.0 |      8.0 |    -20.0 |    -20.0 |   24.0 |   24.0 |        1 |        1 |        0 |        0 | 1MHz High Gain |      V | Light Frame | 00 00 00 | 00 00 00 | 2457983.71177 |      0.0 |    0.0 |     0.0 | MaxIm DL Version 5.15 | SBFITSEXT Version 1.0 | 168 AZ, 32.5 ALT | NexStar #2 | ML4, Nikon f/2_new, 9776 | B Meadows | Clear skies with haze/smoke on low horizon |          |  20.1237029609 | -16.2388680095 | 32.5 | 168 | Timpooneke Road | -111.69703 | 40.42201 |   2582.0 |     60.5 |  35.8 |      1.0 | Chadwick Moore |
| ib024.fit |   True |     16 |     2 |   1024 |   1024 |    1.0 | 32768.0 | 2017-08-18T05:04:21 |     8.0 |      8.0 |    -20.0 |    -20.0 |   24.0 |   24.0 |        1 |        1 |        0 |        0 | 1MHz High Gain |      V | Light Frame | 00 00 00 | 00 00 00 | 2457983.71135 |      0.0 |    0.0 |     0.0 | MaxIm DL Version 5.15 | SBFITSEXT Version 1.0 | 192 AZ, 32.5 ALT | NexStar #2 | ML4, Nikon f/2_new, 9776 | B Meadows | Clear skies with haze/smoke on low horizon |          |   18.710663654 | -16.2388680095 | 32.5 | 192 | Timpooneke Road | -111.69703 | 40.42201 |   2582.0 |     60.5 |  35.8 |      1.0 | Chadwick Moore |
| ib025.fit |   True |     16 |     2 |   1024 |   1024 |    1.0 | 32768.0 | 2017-08-18T05:03:45 |     8.0 |      8.0 |    -20.0 |    -20.0 |   24.0 |   24.0 |        1 |        1 |        0 |        0 | 1MHz High Gain |      V | Light Frame | 00 00 00 | 00 00 00 | 2457983.71094 |      0.0 |    0.0 |     0.0 | MaxIm DL Version 5.15 | SBFITSEXT Version 1.0 | 216 AZ, 32.5 ALT | NexStar #2 | ML4, Nikon f/2_new, 9776 | B Meadows | Clear skies with haze/smoke on low horizon |          |  17.3883881661 | -9.84885415443 | 32.5 | 216 | Timpooneke Road | -111.69703 | 40.42201 |   2582.0 |     60.5 |  35.8 |      1.0 | Chadwick Moore |
| ib026.fit |   True |     16 |     2 |   1024 |   1024 |    1.0 | 32768.0 | 2017-08-18T05:03:09 |     8.0 |      8.0 |    -20.0 |    -20.0 |   24.0 |   24.0 |        1 |        1 |        0 |        0 | 1MHz High Gain |      V | Light Frame | 00 00 00 | 00 00 00 | 2457983.71052 |      0.0 |    0.0 |     0.0 | MaxIm DL Version 5.15 | SBFITSEXT Version 1.0 | 240 AZ, 32.5 ALT | NexStar #2 | ML4, Nikon f/2_new, 9776 | B Meadows | Clear skies with haze/smoke on low horizon |          |  16.2628528391 |  1.56776769924 | 32.5 | 240 | Timpooneke Road | -111.69703 | 40.42201 |   2582.0 |     60.5 |  35.8 |      1.0 | Chadwick Moore |
| ib027.fit |   True |     16 |     2 |   1024 |   1024 |    1.0 | 32768.0 | 2017-08-18T05:02:34 |     8.0 |      8.0 |    -20.0 |    -20.0 |   24.0 |   24.0 |        1 |        1 |        0 |        0 | 1MHz High Gain |      V | Light Frame | 00 00 00 | 00 00 00 | 2457983.71012 |      0.0 |    0.0 |     0.0 | MaxIm DL Version 5.15 | SBFITSEXT Version 1.0 | 264 AZ, 32.5 ALT | NexStar #2 | ML4, Nikon f/2_new, 9776 | B Meadows | Clear skies with haze/smoke on low horizon |          |  15.3200963575 |  16.3364750093 | 32.5 | 264 | Timpooneke Road | -111.69703 | 40.42201 |   2582.0 |     60.5 |  35.8 |      1.0 | Chadwick Moore |
| ib028.fit |   True |     16 |     2 |   1024 |   1024 |    1.0 | 32768.0 | 2017-08-18T05:01:58 |     8.0 |      8.0 |    -20.0 |    -20.0 |   24.0 |   24.0 |        1 |        1 |        0 |        0 | 1MHz High Gain |      V | Light Frame | 00 00 00 | 00 00 00 |  2457983.7097 |      0.0 |    0.0 |     0.0 | MaxIm DL Version 5.15 | SBFITSEXT Version 1.0 | 288 AZ, 32.5 ALT | NexStar #2 | ML4, Nikon f/2_new, 9776 | B Meadows | Clear skies with haze/smoke on low horizon |          |  14.4832429138 |   33.147801971 | 32.5 | 288 | Timpooneke Road | -111.69703 | 40.42201 |   2582.0 |     60.5 |  35.8 |      1.0 | Chadwick Moore |
| ib029.fit |   True |     16 |     2 |   1024 |   1024 |    1.0 | 32768.0 | 2017-08-18T05:01:22 |     8.0 |      8.0 |    -20.0 |    -20.0 |   24.0 |   24.0 |        1 |        1 |        0 |        0 | 1MHz High Gain |      V | Light Frame | 00 00 00 | 00 00 00 | 2457983.70928 |      0.0 |    0.0 |     0.0 | MaxIm DL Version 5.15 | SBFITSEXT Version 1.0 | 312 AZ, 32.5 ALT | NexStar #2 | ML4, Nikon f/2_new, 9776 | B Meadows | Clear skies with haze/smoke on low horizon |          |  13.6248364481 |   51.079368715 | 32.5 | 312 | Timpooneke Road | -111.69703 | 40.42201 |   2582.0 |     60.5 |  35.8 |      1.0 | Chadwick Moore |
| ib030.fit |   True |     16 |     2 |   1024 |   1024 |    1.0 | 32768.0 | 2017-08-18T05:00:47 |     8.0 |      8.0 |    -20.0 |    -20.0 |   24.0 |   24.0 |        1 |        1 |        0 |        0 | 1MHz High Gain |      V | Light Frame | 00 00 00 | 00 00 00 | 2457983.70888 |      0.0 |    0.0 |     0.0 | MaxIm DL Version 5.15 | SBFITSEXT Version 1.0 | 336 AZ, 32.5 ALT | NexStar #2 | ML4, Nikon f/2_new, 9776 | B Meadows | Clear skies with haze/smoke on low horizon |          |  12.3667953403 |  69.2196111261 | 32.5 | 336 | Timpooneke Road | -111.69703 | 40.42201 |   2582.0 |     60.5 |  35.8 |      1.0 | Chadwick Moore |
