# An atlas of Standard Star Fields for UBVRI Photometric Calibration
# Paul S. Smith
# Steward Observatory, University of Arizona, Tucson, AZ 85721 USA
# January 1997; revised March 2001
# Abstract: Photometric standard stars chosen from Landolt (1992) are presented 
# in an atlas of 156 charts produced from Digital Sky Survey. Stars 
# are distributed throughout all hours of Right Ascension and most of 
# these UBVRI standards are equatorial. Charts are presented with a 
# 6.8' x 6.8' field of view.
# http://james.as.arizona.edu/~psmith/61inch/ATLAS/atlasinfo.html
#
# To get from CHART to the URL: 
# http://james.as.arizona.edu/~psmith/61inch/ATLAS/charts/cCHART.html#
# e.g. http://james.as.arizona.edu/~psmith/61inch/ATLAS/charts/c3.html#
# e.g. http://james.as.arizona.edu/~psmith/61inch/ATLAS/charts/c21.html#
# e.g. http://james.as.arizona.edu/~psmith/61inch/ATLAS/charts/c153.html#
#
# All tables combined and put in CSV format via an Excel file, which Julia has.
# 
Star,RA (J2000),Dec (J2000),V,B-V,U-B,V-R,R-I,Color,Chart
98 682,6:52:17,-00:19:42,13.749,0.632,0.098,0.366,0.352,,53
98 685,6:52:19,-00:20:19,11.954,0.463,0.096,0.29,0.28,,53
98 1087,6:52:21,-00:15:50,14.439,1.595,1.284,0.928,0.882,RED,"53,54"
98 1102,6:52:28,-00:13:43,12.113,0.314,0.089,0.193,0.195,,54
98 1124,6:52:38,-00:16:34,13.707,0.315,0.258,0.173,0.201,,54
98 1122,6:52:38,-00:17:05,14.09,0.595,-0.297,0.376,0.442,,54
98 724,6:52:38,-00:19:22,11.118,1.104,0.904,0.575,0.527,,54
98 733,6:52:40,-00:17:16,12.238,1.285,1.087,0.698,0.65,,54
RU 149G,7:24:12,-00:31:46,12.829,0.541,0.033,0.322,0.322,,55
RU 149A,7:24:14,-00:32:44,14.495,0.298,0.118,0.196,0.196,,55
RU 149F,7:24:15,-00:30:58,13.471,1.115,1.025,0.594,0.538,,55
RU 149,7:24:15,-00:32:55,13.866,-0.129,-0.779,-0.04,-0.068,BLUE,55
RU 149D,7:24:16,-00:32:38,11.48,-0.037,-0.287,0.021,0.008,BLUE,55
RU 149C,7:24:18,-00:32:17,14.425,0.195,0.141,0.093,0.127,,55
RU 149B,7:24:18,-00:32:58,12.642,0.662,0.151,0.374,0.354,,55
RU 149E,7:24:19,-00:31:08,13.718,0.522,-0.007,0.321,0.314,,55
RU 152F,7:29:51,-02:04:29,14.564,0.635,0.069,0.382,0.315,,56
RU 152E,7:29:51,-02:05:09,12.362,0.042,-0.086,0.03,0.034,,56
RU 152,7:29:55,-02:06:18,13.014,-0.19,-1.073,-0.057,-0.087,BLUE,56
RU 152B,7:29:56,-02:05:39,15.019,0.5,0.022,0.29,0.309,,56
RU 152A,7:29:57,-02:06:02,14.341,0.543,-0.085,0.325,0.329,,56
RU 152C,7:29:59,-02:05:18,12.222,0.573,-0.013,0.342,0.34,,56
RU 152D,7:30:03,-02:04:16,11.076,0.875,0.491,0.473,0.449,,56
99 438,7:55:54,-00:16:51,9.398,-0.155,-0.725,-0.059,-0.081,BLUE,57
99 447,7:56:07,-00:20:43,9.417,-0.067,-0.225,-0.032,-0.041,BLUE,57
100 241,8:52:35,-00:39:48,10.139,0.157,0.101,0.078,0.085,,58
100 162,8:53:15,-00:43:29,9.15,1.276,1.497,0.649,0.553,,59
100 280,8:53:36,-00:36:41,11.799,0.494,-0.002,0.295,0.291,,60
100 394,8:53:55,-00:32:21,11.384,1.317,1.457,0.705,0.636,,60
PG0918+029D,9:21:22,+02:47:30,12.272,1.044,0.821,0.575,0.535,,61
PG0918+029,9:21:28,+02:46:03,13.327,-0.271,-1.081,-0.129,-0.159,BLUE,61
PG0918+029B,9:21:34,+02:48:01,13.963,0.765,0.366,0.417,0.37,,61
PG0918+029A,9:21:35,+02:46:20,14.49,0.536,-0.032,0.325,0.336,,61
PG0918+029C,9:21:42,+02:46:38,13.537,0.631,0.087,0.367,0.357,,61
-12 2918,9:31:18,-13:29:20,10.067,1.501,1.166,1.067,1.318,RED,62
PG0942-029,9:45:12,-03:09:24,14.004,-0.294,-1.175,-0.13,-0.149,BLUE,63
101 315,9:54:51,-00:27:28,11.249,1.153,1.056,0.612,0.559,,64
101 316,9:54:52,-00:18:32,11.552,0.493,0.032,0.293,0.291,,65
101 320,9:55:33,-00:22:31,13.823,1.052,0.69,0.581,0.561,,66
101 404,9:55:41,-00:18:21,13.459,0.996,0.697,0.53,0.5,,66
101 324,9:55:57,-00:23:14,9.742,1.161,1.148,0.591,0.519,,67
101 326,9:56:08,-00:27:08,14.923,0.729,0.227,0.406,0.375,,68
101 327,9:56:09,-00:25:50,13.441,1.155,1.139,0.717,0.574,,"67,68"
101 268,9:56:19,-00:31:55,14.38,1.531,1.381,1.04,1.2,RED,68
101 330,9:56:21,-00:27:19,13.723,0.577,-0.026,0.346,0.338,,68
101 413,9:56:14,-00:11:56,12.583,0.983,0.716,0.529,0.497,,69
101 281,9:57:04,-00:31:38,11.575,0.812,0.419,0.452,0.412,,70
101 429,9:57:32,-00:18:17,13.496,0.98,0.782,0.617,0.526,,71
101 431,9:57:37,-00:17:51,13.684,1.246,1.144,0.808,0.708,,71
101 207,9:57:52,-00:47:35,12.419,0.515,-0.078,0.321,0.32,,72
101 363,9:58:19,-00:25:35,9.874,0.261,0.129,0.146,0.151,,73
GD 108,10:00:47,-07:33:31,13.561,-0.215,-0.942,-0.098,-0.122,BLUE,74
G162 66,10:33:43,-11:40:39,13.012,-0.165,-0.996,-0.126,-0.141,BLUE,75
PG1034+001,10:37:04,-00:08:20,13.228,-0.365,-1.274,-0.155,-0.203,BLUE,76
PG1047+003,10:50:03,-00:00:32,13.474,-0.29,-1.121,-0.132,-0.162,BLUE,77
PG1047+003A,10:50:06,-00:01:08,13.512,0.688,0.168,0.422,0.418,,77
PG1047+003B,10:50:09,-00:02:00,14.751,0.679,0.172,0.391,0.371,,77
PG1047+003C,10:50:18,-00:00:23,12.453,0.607,-0.019,0.378,0.358,,77
G44 40,10:50:54,+06:48:57,11.675,1.644,1.213,1.216,1.568,RED,78
102 620,10:55:06,-00:48:19,10.069,1.083,1.02,0.642,0.524,,79
G45 20,10:56:38,+07:02:23,13.507,2.034,1.165,1.823,2.174,RED,80
102 1081,10:57:04,-00:13:10,9.903,0.664,0.255,0.366,0.333,,81
G163 27,10:57:35,-07:31:23,14.338,0.288,-0.548,0.206,0.21,,82
G163 50,11:08:00,-05:09:26,13.059,0.035,-0.688,-0.085,-0.072,,83
G163 51,11:08:07,-05:13:47,12.576,1.506,1.228,1.084,1.359,RED,83
G10 50,11:47:44,+00:48:55,11.153,1.752,1.318,1.294,1.673,RED,84
