|           RA |          DEC |  Vmag |         Source | idx | source_x | source_y |     source_RA |       source_DEC | residual_aperture_sum |      instrmag |           alt |
| 256.54919394 | -21.56440204 |  6.29 | I/239/hip_main |  33 |  435.707 |  965.351 | 256.528022178 |   -21.5767369103 |         12581.6157612 | 7.99161607709 | 20.2870993806 |
| 256.65075202 |   0.65220817 |  8.31 | I/239/hip_main | 395 |  823.506 |  223.105 | 256.649366482 |   0.669006685243 |         2904.13793046 | 6.39981813027 | 39.6080330117 |
| 256.86251776 | -19.28710389 |  7.60 | I/239/hip_main | 243 |  466.631 |  882.274 | 256.851979792 |   -19.2927878435 |          4484.2338815 |  6.8714956719 | 22.4554938111 |
| 257.24791624 |   3.75956385 |  7.84 | I/239/hip_main | 341 |  859.192 |  107.408 | 257.238994625 |     3.7357872053 |         4338.48566314 |  6.8356204491 | 42.4737476229 |
| 258.13076624 | -10.27810899 |  7.57 | I/239/hip_main | 266 |  583.908 |  562.146 | 258.103649238 |   -10.2794699331 |         5182.98678243 |  7.0287252858 | 30.9813874905 |
| 258.40566842 |  -9.28381368 |  7.54 | I/239/hip_main | 373 |  592.137 |  524.394 | 258.382176674 |   -9.27491049463 |         4678.99744365 | 6.91765705231 | 31.9941248083 |
| 258.82184902 |  -7.20167034 |  8.07 | I/239/hip_main | 460 |  614.198 |  448.084 |  258.80967734 |   -7.17766781167 |         2927.84065706 | 6.40864362568 | 34.0337071501 |
| 258.92116506 |  -9.80876827 |  6.93 | I/239/hip_main | 143 |  566.323 |  533.262 | 258.895160615 |   -9.80760700887 |         7979.05672602 | 7.49715391412 | 31.7681423049 |
| 259.05939112 |   2.18624365 |  6.17 | I/239/hip_main |  67 |  769.759 |  129.501 | 259.050607354 |    2.19276279561 |         17901.2853014 | 8.37448556797 | 42.1994433367 |
| 259.09973879 | -21.85754888 |  7.53 | I/239/hip_main | 171 |  351.071 |  932.867 | 259.079726445 |   -21.8678924675 |         3740.98839086 | 6.67474093373 |  21.078712339 |
| 259.13216019 |   1.21058377 |  5.89 | I/239/hip_main |  48 |  750.216 |  161.335 | 259.120913968 |    1.23002719625 |         22911.5886121 | 8.64241303938 | 41.4256522228 |
