|           RA |          DEC |  Vmag |         Source | idx | source_x | source_y |     source_RA |      source_DEC | residual_aperture_sum |      instrmag |           alt |
| 289.20243822 |  18.97645669 |  7.02 | I/239/hip_main | 435 |   641.77 |  88.0732 | 289.212299683 |   18.9666184705 |         7791.02993968 | 7.47126221571 | 68.3295575276 |
| 289.45416014 |  11.59539126 |  5.28 | I/239/hip_main |  48 |  637.266 |  366.851 | 289.439324431 |    11.614503209 |         37591.3857939 | 9.17999587285 | 61.0548220367 |
| 289.51050038 |  -1.00889571 |  8.35 | I/239/hip_main | 298 |   641.41 |  838.713 | 289.493581949 |  -1.00097102835 |         6423.19186522 | 7.26165226974 | 48.4887437827 |
| 289.66414993 |  15.68065831 |  7.95 | I/239/hip_main | 552 |  626.921 |  213.442 | 289.669394342 |   15.6992492968 |         3522.51578538 | 6.60940740247 | 65.1408206263 |
| 289.68825089 |  16.48838911 |  7.01 | I/239/hip_main | 399 |  626.286 |  182.597 | 289.676221569 |   16.5115628716 |         8773.85271735 | 7.60025088209 | 65.9489774477 |
| 289.70170105 |  19.61047566 |  6.50 | I/239/hip_main | 217 |  623.571 |  63.8014 | 289.710351147 |   19.6046493073 |         13154.0708324 | 8.03992547284 | 69.0243314024 |
| 289.71222480 |   0.33900138 |  6.40 | I/239/hip_main | 135 |  633.525 |   787.93 |   289.6858726 |  0.338774407097 |         18146.0602365 | 8.38923090302 | 49.8388491081 |
| 289.71979820 |   9.61816161 |  6.31 | I/239/hip_main | 155 |  628.503 |  441.011 | 289.704210271 |   9.62900940073 |         15413.0214949 |  8.2119944927 | 59.1024530934 |
| 289.81525996 |   9.08064114 |  8.15 | I/239/hip_main | 679 |  625.339 |  461.027 | 289.797011162 |   9.09219500174 |         3434.53773106 | 6.58194576202 | 58.5754557294 |
| 289.83145630 |   7.14363098 |  7.75 | I/239/hip_main | 581 |  625.854 |  533.645 | 289.807171614 |   7.13894531654 |         4156.21291291 | 6.78901950084 | 56.6294592506 |
| 289.92056741 |   7.79556767 |  7.82 | I/239/hip_main | 562 |  621.681 |  509.045 | 289.912125709 |   7.80198536008 |         5028.05889659 | 6.99577592299 | 57.2986697005 |
| 289.97100182 |  11.53491074 |  6.03 | I/239/hip_main |  93 |    618.3 |  369.262 | 289.958705266 |   11.5579567505 |         23029.4103493 | 8.64798207833 | 61.0459253031 |
| 290.00403240 |   5.59600808 |  8.52 | I/239/hip_main | 441 |  619.863 |  591.811 | 289.987934696 |   5.57686632518 |         6316.65816393 | 7.24349346999 | 55.0853875269 |
| 290.00455620 |   5.58768912 |  7.59 | I/239/hip_main | 441 |  619.863 |  591.811 | 289.987934696 |   5.57686632518 |         6316.65816393 | 7.24349346999 | 55.0853875269 |
| 290.11262630 |  -1.30988396 |  6.57 | I/239/hip_main | 207 |  617.772 |  851.293 | 290.124809677 |  -1.32910301797 |         9064.35158146 | 7.63561688822 | 48.2027534905 |
| 290.13682588 |  -5.41587489 |  4.98 | I/239/hip_main |  45 |  618.627 |  1008.85 | 290.149948722 |  -5.40964129372 |         42034.9780487 | 9.30130209491 | 44.1300088111 |
| 290.20130666 |  -4.50248749 |  6.89 | I/239/hip_main | 245 |  615.996 |  973.828 | 290.208699878 |  -4.51269965696 |         6776.44818449 | 7.31978033723 | 45.0288543638 |
| 290.22452989 |  13.57670184 |  6.91 | I/239/hip_main | 354 |  607.919 |  292.985 | 290.219176448 |   13.5995881407 |         8921.82946946 | 7.61840982738 | 63.1018822576 |
